Maths,Physics,English,Economics,Biology
57,55,15,48,49
40,56,84,77,28
14,94,86,77,39
79,23,22,41,87
84,64,16,30,32
62,18,10,63,58
88,65,45,94,58
26,25,36,98,90
81,37,57,68,58
32,64,95,64,80
83,61,39,61,31
22,32,51,24,38
97,59,21,49,79
53,49,20,48,79
40,79,72,30,51
71,98,52,35,72
32,23,44,91,92
87,84,47,94,38
98,43,60,72,98
92,70,66,96,93
48,14,27,44,83
61,63,12,49,87
65,78,63,63,53
80,39,21,36,19
24,18,63,49,48
50,68,25,61,87
27,70,41,46,65
98,88,26,53,17
31,68,88,46,46
33,92,20,49,39
Maths,Physics,English,Economics,Biology
95,18,51,19,98
43,99,91,15,43
21,71,51,30,75
92,97,32,24,71
77,73,92,76,74
27,96,61,49,53
40,97,39,45,32
16,38,47,70,90
60,74,80,84,76
10,85,40,43,29
34,93,41,36,55
62,97,24,49,96
26,63,47,21,82
36,50,24,67,45
37,29,71,78,34
24,35,27,29,74
84,29,83,14,64
73,34,63,66,93
41,68,91,25,51
73,12,77,29,88
57,33,68,48,66
16,43,81,28,48
65,60,12,35,56
89,13,99,46,85
98,11,63,60,25
20,28,74,67,77
49,33,37,26,45
81,38,26,94,50
68,96,93,60,18
65,85,87,60,15
Maths,Physics,English,Economics,Biology
43,14,26,10,96
24,58,27,85,16
27,55,77,52,41
57,40,32,95,23
16,15,47,48,10
61,83,75,38,75
10,59,26,77,56
71,62,11,52,33
78,99,10,36,19
26,77,53,93,64
54,28,67,21,78
66,69,76,77,67
31,67,41,69,92
41,26,45,25,24
62,14,20,99,54
49,21,95,48,94
92,90,35,59,40
27,28,30,93,29
60,99,60,14,23
53,71,55,89,68
31,50,40,77,92
45,77,30,68,58
45,46,27,20,90
13,81,51,84,62
31,39,96,61,41
47,54,36,80,41
34,56,11,37,48
94,68,36,38,50
25,50,38,78,28
83,37,98,53,57
Maths,Physics,English,Economics,Biology
86,74,30,19,98
39,49,86,40,98
27,88,26,31,63
13,13,47,35,77
81,36,43,19,18
22,64,46,92,54
63,25,60,31,87
44,87,83,32,77
23,75,24,10,92
13,44,47,13,56
15,94,69,48,83
69,51,69,37,80
38,21,18,15,28
58,83,60,38,65
46,17,93,65,11
27,23,91,71,67
76,87,50,27,82
36,81,19,42,96
30,56,89,69,52
13,40,36,88,33
29,16,77,53,59
53,59,75,95,79
26,10,49,85,86
59,63,27,69,48
48,18,24,77,32
58,24,56,14,49
90,42,56,76,17
21,56,20,65,42
26,97,10,55,13
90,10,45,86,96
Maths,Physics,English,Economics,Biology
98,51,44,82,91
33,48,52,92,46
45,32,14,94,60
76,31,30,35,70
16,71,44,51,22
87,19,28,28,37
13,79,49,78,35
76,17,46,56,80
12,25,32,11,60
31,89,14,51,54
42,65,96,36,19
76,70,37,41,78
79,15,22,19,13
72,54,54,64,68
22,11,14,92,98
74,25,15,79,86
46,45,68,12,80
81,62,29,33,80
98,13,53,64,74
98,13,90,34,98
96,55,58,88,63
25,28,69,46,99
30,76,95,51,51
97,39,74,46,88
95,16,89,37,93
92,61,82,19,25
31,35,78,68,43
34,57,99,64,63
94,77,33,13,20
64,47,64,28,34
Maths,Physics,English,Economics,Biology
84,81,29,37,14
60,61,74,93,33
53,15,70,41,43
28,47,89,68,98
43,63,23,90,38
51,77,24,67,96
71,32,43,22,78
25,32,40,81,13
75,68,68,38,56
52,30,87,66,30
46,63,56,91,18
23,50,17,50,62
62,16,16,26,48
70,98,59,65,53
58,69,54,52,92
57,31,85,98,54
15,90,71,78,58
50,32,66,92,42
88,26,66,64,67
37,48,13,12,86
74,61,37,11,66
22,97,90,72,67
15,37,32,48,55
79,18,95,92,44
48,79,57,98,73
58,40,92,45,24
69,59,27,26,82
18,13,14,56,65
28,54,96,43,50
85,30,94,46,99
Maths,Physics,English,Economics,Biology
50,25,85,43,39
38,94,77,91,95
75,45,31,24,60
83,20,92,47,57
44,44,19,60,77
35,60,23,19,59
90,60,89,87,43
71,35,54,95,97
82,14,32,30,75
84,47,75,78,82
35,57,69,15,28
94,42,16,59,27
71,16,69,96,16
99,83,16,43,54
83,78,56,42,67
45,74,60,76,50
49,21,40,49,15
56,87,12,30,43
52,72,99,35,96
41,44,14,58,57
19,53,55,43,82
92,56,88,86,51
77,61,86,38,26
76,69,33,11,46
53,37,75,13,71
56,88,34,29,29
80,16,62,88,38
54,38,53,70,11
60,50,98,12,58
16,67,61,67,91
Maths,Physics,English,Economics,Biology
74,27,17,49,19
36,17,43,96,86
62,65,56,20,18
33,71,69,76,79
36,61,95,94,58
91,40,23,20,57
56,66,57,72,44
80,57,51,91,20
70,49,64,74,54
63,67,87,80,73
20,25,56,76,15
97,59,47,41,56
26,42,94,87,68
24,84,79,19,26
30,83,16,91,26
80,24,36,24,37
66,45,42,28,46
36,47,41,96,96
41,31,61,63,88
18,46,97,94,62
17,20,35,15,55
51,28,36,60,57
80,32,94,65,76
75,49,33,45,10
60,33,95,53,88
57,34,82,98,14
43,33,79,59,83
63,38,68,83,57
97,33,48,91,85
91,50,15,20,38
Maths,Physics,English,Economics,Biology
45,96,68,41,81
11,99,26,71,23
37,20,62,69,14
30,29,93,97,39
50,86,12,79,78
30,18,52,96,59
44,93,96,76,51
39,86,49,18,21
26,72,98,27,10
26,53,87,48,61
46,17,86,90,99
73,54,80,15,16
86,27,90,15,95
14,99,43,59,80
92,83,12,56,10
27,99,95,15,29
96,75,37,71,61
39,14,89,98,14
99,91,99,93,18
21,70,25,89,93
45,12,12,33,73
86,68,54,91,65
52,50,35,16,62
23,32,16,62,63
40,17,30,95,98
98,70,54,90,55
58,10,48,51,63
67,16,38,66,88
36,24,75,23,87
69,98,62,30,50
Maths,Physics,English,Economics,Biology
94,98,12,12,50
24,81,13,61,97
13,44,37,22,23
85,78,78,97,30
98,81,52,86,56
32,14,94,22,74
87,31,12,89,30
28,48,22,70,32
86,99,51,72,55
73,52,34,96,17
67,76,22,46,21
29,74,43,18,27
66,92,86,16,34
69,89,68,53,36
25,25,25,39,54
10,10,27,75,37
34,85,46,20,23
12,13,62,63,30
35,51,72,14,10
92,52,29,40,46
70,30,15,93,81
64,84,38,48,78
33,82,22,18,92
78,89,35,51,81
75,88,33,15,55
83,24,93,13,48
23,89,10,90,92
92,71,29,60,53
66,12,84,34,77
87,63,66,60,61
Maths,Physics,English,Economics,Biology
82,32,18,93,93
42,60,57,86,53
66,78,79,14,90
86,39,12,24,53
40,69,28,52,74
88,48,41,95,22
75,37,86,78,99
94,15,42,87,76
77,24,50,66,41
39,58,92,84,46
47,17,19,66,11
41,99,83,61,12
75,90,67,21,13
35,48,97,79,62
37,77,35,35,61
87,58,53,31,26
79,60,42,49,81
46,27,63,25,94
61,42,64,89,28
67,96,68,69,42
61,66,42,97,54
15,26,76,72,66
22,40,50,89,86
71,25,95,47,59
76,44,86,54,42
27,73,33,37,93
92,77,51,92,75
52,64,83,58,24
40,32,80,52,96
27,92,33,20,23
Maths,Physics,English,Economics,Biology
78,19,41,99,97
77,97,27,25,87
11,61,52,31,24
13,57,94,14,20
18,40,71,15,44
33,29,46,55,92
58,47,12,17,49
17,11,41,69,26
98,28,94,65,19
43,31,78,22,87
62,58,93,82,70
54,87,15,58,96
16,26,23,73,28
99,74,11,49,74
69,79,31,46,64
82,62,34,11,25
14,84,40,95,54
74,37,89,59,30
51,31,26,49,59
94,30,60,69,97
94,48,12,42,52
27,22,81,72,17
27,67,98,88,70
20,78,28,31,42
30,57,59,99,24
93,77,25,88,53
59,99,17,64,53
31,86,15,15,25
30,79,65,47,24
14,21,46,38,71
Maths,Physics,English,Economics,Biology
82,10,59,83,30
68,11,55,37,67
70,30,28,26,35
61,54,63,64,19
46,54,47,76,10
35,38,75,36,27
92,50,58,87,95
70,46,16,25,28
19,15,67,71,27
64,85,92,47,97
92,30,70,76,54
78,62,57,32,64
95,66,71,10,16
36,30,39,45,54
80,99,51,29,77
45,60,83,29,55
48,20,93,18,76
83,43,75,92,33
42,94,97,87,26
41,54,61,10,39
98,69,37,24,56
65,43,66,83,10
24,18,82,86,44
57,89,52,37,54
15,23,46,77,68
19,93,12,19,70
32,70,11,10,51
64,25,85,57,79
91,63,86,47,43
54,43,45,72,22
Maths,Physics,English,Economics,Biology
48,37,68,16,36
59,31,96,20,44
99,76,10,33,17
11,55,52,42,76
19,69,75,17,11
29,73,28,33,13
90,20,87,26,21
66,54,41,31,35
92,83,27,74,50
83,44,99,39,95
99,83,23,66,25
76,55,56,60,18
75,76,13,68,26
50,44,51,78,31
60,86,18,52,11
64,65,54,93,37
96,79,24,32,50
44,32,70,65,60
68,89,37,41,93
53,88,20,32,38
87,14,47,92,27
10,15,26,36,66
92,57,58,61,89
31,97,57,45,62
16,74,84,82,64
90,21,74,36,96
95,18,85,14,18
13,15,66,24,21
56,13,50,68,47
75,32,34,36,83
Maths,Physics,English,Economics,Biology
94,67,31,32,30
42,81,74,48,27
47,93,68,81,13
45,54,95,24,62
64,89,94,45,63
17,97,50,54,22
97,96,55,50,40
65,41,88,94,96
68,58,56,18,98
50,90,98,89,94
60,61,74,96,38
59,50,83,76,63
54,44,86,80,24
75,71,48,75,95
16,66,11,36,40
81,50,66,81,71
96,43,14,81,95
85,72,19,87,36
55,72,43,66,39
98,31,70,98,62
69,21,54,53,68
34,10,65,20,52
45,77,24,79,12
75,14,62,26,42
47,33,58,67,76
58,12,88,91,75
47,34,25,90,61
16,44,52,33,33
73,82,91,22,51
37,40,59,45,75
Maths,Physics,English,Economics,Biology
41,25,99,69,71
46,75,74,21,75
26,48,19,79,85
11,75,31,19,14
55,10,65,89,82
81,94,76,43,85
97,53,48,25,36
80,97,45,37,99
12,33,19,82,12
55,30,18,73,15
26,25,89,90,28
13,30,56,18,84
70,17,16,15,11
60,49,71,79,29
73,39,55,92,79
